Magazine,Language,Origin,Systems,Source
"Amiga Times",,,"AMIGA OCS/ECS",
AmigaCS,,,"AMIGA AGA","Demozoo,Pouet"
Amigoz,Russian,Ukraine,"ZX Spectrum",ZXpress
Amnesia,,,"AMIGA OCS/ECS,WINDOWS",
Amoszine,,,AMIGA,"Internet Archive"
"Amoszine PD Edition",,,AMIGA,
"Amulets And Armor Review",,,MS-DOS,
"Amy PD and Shareware Review",,,AMIGA,"Internet Archive"
Analysis,,,"BROWSER,Javascript","Demozoo,Pouet"
"Anarchist Magazine",,,"AMIGA OCS/ECS",
Anarchy,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Andy's Daily",,,"Commodore 64","CSDB,Pouet"
Anecdotes,Russian,,"ZX Spectrum",ZXpress
Anemia,,,MS-DOS,
Anigdot,Russian,Russia,"ZX Spectrum",ZXpress
Anime-X,,,"AMIGA OCS/ECS",Demozoo
Anormal,,,MS-DOS,Demozoo
AnotherMag,,,"MS-DOS,MS-Dos/gus","Demozoo,Pouet"
"Anti News",,,"Commodore 64","Internet Archive,CSDB"
Anti-Top,Russian,Belarus,"ZX Spectrum",ZXpress
"Anti-social magazine",,,MS-DOS,Pouet
Antidote,,,"Commodore 64","Internet Archive,CSDB"
Antinational,,,"Commodore 64",CSDB
Antivel,Russian,Russia,"ZX Spectrum",ZXpress
"Anty Dresiarz",,,"AMIGA AGA",
"Anty SS Zine",,,"ATARI 8 BIT",Demozoo
"Anyone Better",,,"Commodore 64","Internet Archive,CSDB"
"Apocalypse Time",,,"ATARI 8 BIT",
"Apogee Software Catalog",,,MS-DOS,
"Apogee Software Catalog - November",,,MS-DOS,
Appelzine,,,"Commodore 64","Internet Archive,Pouet"
Arachnophobia,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Arachnophobia Outfit Preview",,,"Commodore 64",
Arcade,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Are We The Best?",,,"Commodore 64",
"Arendal Party Message Box",,,"AMIGA OCS/ECS",
Arise,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Armor Of Gods",,,MS-DOS,Pouet
"Ars Publica, Ars Puplica",,,"Commodore 64","Internet Archive,CSDB,Pouet"
Art-Magazine,,,"Commodore 64",
Art-Verts,,,"Commodore 64","CSDB,Pouet"
Artmag,,,"Commodore 64",
"Artmag, Art-Magazine",,,"Commodore 64",
Artpack,,,WINDOWS,
"Ascii Express",,,"AMIGA OCS/ECS",
"Ascii Express Issue",,,"AMIGA OCS/ECS",
"Ascii Gazette",,,"AMIGA OCS/ECS",Demozoo
"Ascii Pack",,,"AMIGA OCS/ECS",
Aspect,Russian,Russia,"ZX Spectrum",ZXpress
Aspirin,,,"AMIGA OCS/ECS",
"Assembly 1994 Report",,,MS-DOS,Demozoo
"Asterix And Obelix Review",,,MS-DOS,Demozoo
"Asteroth magazine",,,MS-DOS,"Internet Archive"
Astoria,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Astoria osiem-1",,,"Commodore 64",
"Atari Dream Machines",,,"ATARI FALCON",Demozoo
"Atari Update",,,"ATARI ST/E",
"Atari Update – Issue One",,,"ATARI ST/E",
"Atomic News",,,"Commodore 64",
"Atomic News, ATM-News",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Atrog,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Attitude,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Audial Talk",,,"AMIGA OCS/ECS",Demozoo
"Aurora magazine",,,MS-DOS,
Auschwitz,,,"AMIGA OCS/ECS",
"Australian Scene Charts",,,"AMIGA OCS/ECS",
Autark,,,MS-DOS,
Avalon,,,"Commodore 64","Internet Archive,CSDB"
"Avro News",Russian,,"ZX Spectrum",ZXpress
"Axel News",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Axelerator Review",,,MS-DOS,
"B Soft",,,"Commodore 64","Internet Archive"
"BBS Chart",,,"Commodore 64","Internet Archive"
"BBS News",,,"Commodore 64","Internet Archive,CSDB"
BBS-Flash,,,MS-DOS,
BBSTOP,Russian,Belarus,"ZX Spectrum",ZXpress
"BIG BLUE DISK",,,MS-DOS,"Internet Archive"
"BSS Magazine",,,"ATARI 8 BIT,Atari XL/XE","Demozoo,Pouet"
"Baby Coma",,,"AMIGA OCS/ECS",
Backdoor,,,"Commodore 64",
"Bad Mag",,,"AMSTRAD CPC","Demozoo,Pouet"
"Bad News",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Bad Tongue",,,"AMIGA OCS/ECS",
"Badcat Mag",,,"AMIGA OCS/ECS",
"Badcat Mag 7/92",,,"AMIGA OCS/ECS",
"Badsectors Disk Mag",,,"ATARI ST/E",
Bain,,,MS-DOS,"Demozoo,Pouet"
"Bain 07/94",,,MS-DOS,
"Bajtek Show",,,"ATARI 8 BIT,Atari XL/XE","Demozoo,Pouet"
Balagan,Russian,,"ZX Spectrum",ZXpress
"Baltic Press",Russian,Russia,"ZX Spectrum",ZXpress
"Banana News, Bannana News",,,"Commodore 64","Internet Archive,CSDB"
"Banzai Bug Review",,,MS-DOS,Demozoo
Barbapapa,,,"AMIGA OCS/ECS",
"Barbie Super Model Review",,,MS-DOS,Demozoo
"Baron Charts",,,"Commodore 64",CSDB
Barymag,,,"ATARI 8 BIT,Atari XL/XE","Demozoo,Pouet"
"Baseball Mogul Review",,,MS-DOS,Demozoo
"Batman Forever Review",,,MS-DOS,Demozoo
"Battery News",,,"Commodore 64","Internet Archive,CSDB"
"Battle Bugs Review",,,MS-DOS,Demozoo
"Battle Europe Review",,,MS-DOS,Demozoo
"Battle Isle '93 The Moon Of Chronos Review",,,MS-DOS,
"Battle Sport Review",,,MS-DOS,
"Battle Tank Europe Review",,,MS-DOS,Demozoo
"Battleground 6: Napoleon In Russia Review",,,MS-DOS,Demozoo
Batva,Russian,Belarus,"ZX Spectrum",ZXpress
Bazar,,,"Commodore 64",CSDB
"Bazar IV Mag",,,"ATARI ST/E",
Beam,,,MS-DOS,"Internet Archive,Demozoo,Pouet"
Becanne,,,PAPER,
"Beer Garden, Beergarden",,,"Commodore 64",
"Beergarden, Beer Garden",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Belgian Glory",,,"AMIGA OCS/ECS",
"Belgian Scene Report",,,"MS-DOS,MS-Dos/gus",
"Beneath A Steel Sky Review",,,MS-DOS,Demozoo
Beret,,,"AMIGA AGA","Demozoo,Pouet"
"Berlin Charts",,,"AMIGA OCS/ECS","Demozoo,Pouet"
"Beschuit Met Muisjes",,,"AMIGA OCS/ECS",Demozoo
Best,,,"Commodore 64",
"Best of",Russian,,"ZX Spectrum",ZXpress
"Betrayal At Kondor",,,MS-DOS,
"Betrayal At Kondor Complete Solve",,,MS-DOS,
"Betrayal At Kondor Hints",,,MS-DOS,Demozoo
"Beverly Hills",,,"AMIGA OCS/ECS","Demozoo,Pouet"
"Beverly Hills AD. Mag",,,"AMIGA OCS/ECS",
"Beyond Sanit-E",,,"AMIGA OCS/ECS","Internet Archive,Demozoo"
"Beyond The Horizon",,,MS-DOS,"Demozoo,Pouet"
"Beyond the Frontier",,,"AMIGA AGA,AMIGA OCS/ECS","Demozoo,Pouet"
"Big Business",,,"AMIGA OCS/ECS",Demozoo
"Big Mouth",,,"Commodore 64",
"Big Red Racing Review",,,MS-DOS,
Bigoz,,,"AMIGA OCS/ECS","Demozoo,Pouet"
Bigzine,,,"ATARI 8 BIT,Atari XL/XE","Demozoo,Pouet"
"Bild Zeitung",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Bim Bam",,,"AMIGA AGA",
"Binary Shift",,,MS-DOS,Demozoo
"Binary Shift Issue",,,MS-DOS,
Bioblech,German,,"Commodore 64","Internet Archive,CSDB,Pouet"
Biometal,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Bistro,,,MS-DOS,"Demozoo,Pouet"
Bitchslap,,,MS-DOS,
Bitmania,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Black Crow",Russian,Ukraine,"ZX Spectrum","ZXpress,Demozoo,Pouet"
"Black Metall",Russian,Russia,"ZX Spectrum",ZXpress
Blackmail,,,MS-DOS,"Demozoo,Pouet"
Blackmarket,,,PAPER,Pouet
Blaggy,,,"AMIGA OCS/ECS",
"Blake Stone Review",,,MS-DOS,Demozoo
Blaskan,,,"AMIGA OCS/ECS","Demozoo,Pouet"
"Blip Verts",,,"AMIGA OCS/ECS",
Blister,,,MS-DOS,
Blocknews,,,"Commodore 64",
"Blood Review",,,MS-DOS,
BloodElf,,,"Commodore 64","Internet Archive"
"Bloodstone Solve And Facts",,,MS-DOS,
"Bloody Scene",,,"Commodore 64",
"Blue and Blue",,,"Commodore 64",
Blur,,,MS-DOS,"Internet Archive,Demozoo"
"Bob Kell's Disk List",,,"ATARI ST/E",
Body,Russian,,"ZX Spectrum",ZXpress
"Boleny, Bölény",,,"Commodore 64","Internet Archive,CSDB"
Bomba,,,"ATARI ST/E",Demozoo
Bonus,Russian,,"ZX Spectrum",ZXpress
Book,Russian,Russia,"ZX Spectrum",ZXpress
Boom,,,"Commodore 64",
Boombastic,,,"AMIGA AGA,AMIGA OCS/ECS",
Boops,,,"AMIGA AGA",
Booster,,,MS-DOS,
"Bootlegger Magazine",,,"APPLE II","Internet Archive (Apple II)"
"Born Dead",Russian,Russia,"ZX Spectrum",ZXpress
Bounty,,,"AMIGA OCS/ECS",Demozoo
"Box Ranger Dox",,,MS-DOS,Demozoo
Boxon,,,"AMSTRAD CPC",
"Brain Damage",,,"AMIGA AGA,AMIGA OCS/ECS",
"Brain Degenerator",,,"AMIGA AGA,AMIGA OCS/ECS","Demozoo,Pouet"
Brainwash,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Brechnews,,,"Commodore 64","Internet Archive,CSDB"
Bred,Russian,,"ZX Spectrum",ZXpress
Breeze,Russian,Ukraine,"ZX Spectrum",ZXpress
"Brix I & II Deluxe Review + Passcodes",,,MS-DOS,
"Brudal Baddle (Shareware) Review",,,MS-DOS,
Brukowiec,,,"Commodore 64",CSDB
"Brutal Recall",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Bubble Gum",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Buccaneering,,,"Commodore 64","Internet Archive"
"Buckaroo Banzai's The Ancient Art of Cracking",,,MS-DOS,Demozoo
Budyn,,,"MS-DOS,WINDOWS",
Bugs,Russian,Russia,"ZX Spectrum",ZXpress
Buhenvald,Russian,Belarus,"ZX Spectrum",ZXpress
"Bull & Bear",,,"AMIGA OCS/ECS",
"Bull & Bear, Bull and Bear",,,"AMIGA OCS/ECS",
"Bull and Bear",,,AMIGA,
Bumerang,,,"AMIGA OCS/ECS",Demozoo
"Burn the Lighter","Russian,English",Ukraine,"ZX Spectrum","ZXpress,Pouet"
Business,,,PAPER,
"Busy Scene",,,"Commodore 64",
Buzz,,,"AMIGA AGA,AMIGA OCS/ECS","Internet Archive,Demozoo,Pouet"
"By the Way",,,"AMIGA OCS/ECS",Demozoo
"Byte Times",,,C16/116/plus4,
"Bytes Of Wisdom",,,MS-DOS,
Byteshop,,,MS-DOS,"Demozoo,Pouet"
C,,,"Commodore 64",
"C-64,5",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"C-64,5, C64,5",,,"Commodore 64",
C-Mag,,,"Commodore 64",
"C-Mag, C Mag",,,"Commodore 64","Internet Archive,CSDB"
"C-Net Week",Russian,,"ZX Spectrum",ZXpress
"C64 Fever",,,"Commodore 64","Internet Archive"
"C64 Live",,,"Commodore 64","Internet Archive"
"C64 Memories 2 - Pictures",,,"AMIGA OCS/ECS",
CAFe'2003,Russian,Russia,"ZX Spectrum",ZXpress
"CCA Clubdisk",,,"Commodore 64",
"CCB Club-Mag",,,"ATARI 8 BIT",
CCCP,,,"Commodore 64","Internet Archive"
"CCCP Preview",,,"Commodore 64",CSDB
"CD Ultra",,,MS-DOS,"Internet Archive"
"CFX News",,,"MS-DOS,MS-Dos/gus",
CGR,,,MS-DOS,Demozoo
"CGR Issue",,,MS-DOS,
"CHNL, Channel",,,"Commodore 64","Internet Archive,CSDB"
"CIP ST Ausgabe 3.0 (Februar 1988)",,,"ATARI ST/E",
"CLOSED LETTER FOR ""STEP""",,,"ZX Spectrum",Demozoo
CLi,,,MS-DOS,
COURAGE,,,"NEC PC ENGINE",Demozoo
COW,,,"AMIGA OCS/ECS",
"CSD Mag",,,"Commodore 64","Internet Archive"
Cabal,,,"AMIGA OCS/ECS","Internet Archive,Demozoo,Pouet"
Cactus,,,"AMIGA AGA,AMIGA OCS/ECS","Demozoo,Pouet"
"Cactus Scenest Party Edition",,,"AMIGA AGA",
"Caesar Deluxe Review",,,MS-DOS,
"Cafe photo album",Russian,Russia,"ZX Spectrum",ZXpress
"Calling Cards",,,"Commodore 64",CSDB
Cancer,Russian,,"ZX Spectrum",ZXpress
Candlelight,,,"Commodore 64",
"Canid Productions magazine",,,MS-DOS,"Internet Archive"
"Cannon Fodder Review",,,MS-DOS,
"Capitalism Plus Review",,,MS-DOS,
Carma,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Casino Tournament Of Champions Review",,,MS-DOS,Demozoo
"Castles Complete Game Documentation",,,MS-DOS,
"Catch 'Em Review",,,MS-DOS,Demozoo
"Caustic Verses",,,MS-DOS,"Demozoo,Pouet"
Ceibe,,,MS-DOS,
"Cemetery News",,,"AMIGA OCS/ECS,Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Change,,,"AMIGA OCS/ECS",
Channel,,,"MS-DOS,MS-Dos/gus","Demozoo,Pouet"
"Channel 1",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Channel II",,,"Commodore 64","Internet Archive,CSDB,Pouet"
Chaos,,,"Commodore 64","Internet Archive,CSDB"
"Chaos Chronicle",,,"Commodore 64","Internet Archive,CSDB"
"Chaotic Country","English,Hungarian",,"Commodore 64","Internet Archive,CSDB,Pouet"
"Chaotic Country Choice",,,"Commodore 64",
Charisma,,,"AMIGA OCS/ECS",
"Chart Chat",,,"AMIGA OCS/ECS",Demozoo
Chartari,,,"ATARI 8 BIT,Atari XL/XE","Demozoo,Pouet"
Chartbusters,,,"Commodore 64","Internet Archive"
Chartmania,,,"Commodore 64","CSDB,Pouet"
Charts,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Charts of",,,"Commodore 64",
"Charts of 1987",,,"Commodore 64",Demozoo
Cheat,Russian,Russia,"ZX Spectrum",ZXpress
"Cheat Magazine",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Cheat Power",,,"Commodore 64","Internet Archive,CSDB"
Cheese,,,"MS-DOS,MS-Dos/gus",
Chip'O'Matic,,,"AMIGA OCS/ECS",
"Chipmania and friends",,,"AMIGA AGA",
"Chit Chat",,,"Commodore 64","Internet Archive,CSDB,Demozoo"
"Chit Chat, Chit-Chat",,,"AMIGA AGA,AMIGA OCS/ECS,Commodore 64",
Chit-Chat,,,"AMIGA AGA,AMIGA OCS/ECS",
Chocolate,,,"Commodore 64","Internet Archive,CSDB"
"Chomp News",,,"Commodore 64","Internet Archive"
Chosneck,,,"ATARI FALCON",Demozoo
"Chosneck Supplement (Episode FIVE)",,,"ATARI FALCON",
"Chrome Preview",,,"Commodore 64",
"Chronix 1",,,"Commodore 64",
"Chuck It",,,"Commodore 64","Internet Archive"
Chudo,Russian,,"ZX Spectrum",ZXpress
"Church ST Disk",,,"ATARI ST/E",
"Church ST Disk 1",,,"ATARI ST/E",Demozoo
Ciabah,,,"Commodore 64","Internet Archive,CSDB,Pouet"
City,Russian,,"ZX Spectrum",ZXpress
"City Of The Lost Children Review",,,MS-DOS,
"Clash Of Steel Review",,,MS-DOS,
Classic,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Classifieds,,,"AMIGA OCS/ECS",
"Classifieds Up-Dater",,,"AMIGA OCS/ECS",
"Classifieds issue",,,"AMIGA OCS/ECS",
Clime,Russian,Russia,"ZX Spectrum",ZXpress
Clubdiskette,,,"ATARI ST/E",Demozoo
"Code Mag",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Code Monitor",,,"Commodore 64","Internet Archive,CSDB,Pouet"
Codemania,Russian,Belarus,"ZX Spectrum",ZXpress
"Coders Paradise",,,"AMSTRAD CPC",Demozoo
"Coders Scene Magazine",,,"AMIGA OCS/ECS",Demozoo
"Coders World",,,"Commodore 64","Internet Archive,CSDB"
"Coders World News",,,"Commodore 64",
Coders-Disk,,,"AMIGA AGA",
"Coders-Disk -",,,"AMIGA AGA",
"Coderz HP",,,"Commodore 64","Internet Archive"
"Coderz Hack/Phreak Magazine",,,"Commodore 64",
Cognomen,,,"AMIGA AGA",
"Coin News",,,"Commodore 64","Internet Archive"
Collapse,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Colony News",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Columbia,,,"Commodore 64","Internet Archive,CSDB"
"Com64 Live",,,"Commodore 64","Internet Archive"
Coma,,,"AMIGA OCS/ECS",Demozoo
"Comanche 3 Review",,,MS-DOS,Demozoo
"Comic Relief",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Comix One",,,"AMIGA OCS/ECS",Demozoo
"Commodore 64 Directory",,,"Commodore 64",
"Commodore CEE",,,"Commodore 64","Internet Archive"
"Commodore CEE Vol.",,,"Commodore 64",
"Commodore Computer Club",,,"Commodore 64","Internet Archive"
"Commodore Disc",,,"Commodore 64","Internet Archive"
"Commodore Disk User",,,"Commodore 64","Internet Archive"
"Commodore Dossier",,,"Commodore 64","Internet Archive"
"Commodore Format PowerPacks",,,"Commodore 64",
"Commodore Free",,,"Commodore 64","Internet Archive,CSDB"
"Commodore News",,,"Commodore 64",CSDB
"Commodore Scene",,,"Commodore 64","Internet Archive"
"Commodore Scene, Commodore Scene Coverdisk",,,"Commodore 64",
"Companions Of Xanth Review",,,MS-DOS,
Compass,,,"AMIGA OCS/ECS","Demozoo,Pouet"
Competition,,,"Commodore 64","Internet Archive,CSDB"
"Compute!'s Gazette",,,"Commodore 64","Internet Archive"
"Computer Club",,,"Commodore 64","Internet Archive"
"Compy Shop Magazin",German,,"ATARI 8 BIT",Demozoo
Concrete,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Condom,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Connections,,,"AMIGA OCS/ECS","Demozoo,Pouet"
"Consol Shock",,,"Nintendo SNES/Super FamiCom",
"Consol Shock,",,,"NINTENDO SNES/SUPER FAMICOM",
"Console News",,,"AMIGA OCS/ECS",Demozoo
"Console World",,,"Nintendo SNES/Super FamiCom","Demozoo,Pouet"
"Constructor Review",,,MS-DOS,
Contact,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Contact Disk",,,"Commodore 64",CSDB
"Contact Line",,,"AMIGA OCS/ECS",
"Contact Line Preview",,,"AMIGA OCS/ECS",
"Contactbox, Contact Box",,,"AMIGA OCS/ECS","Demozoo,Pouet"
Contax,,,"Commodore 64",
Continuum,,,MS-DOS,
Contrast,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Controception,,,"Commodore 64",CSDB
Controversial,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Coococ,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Cool World",,,"AMIGA OCS/ECS",
Cool-Ware,,,"APPLE II","Internet Archive (Apple II)"
Cooler,,,"MS-DOS,WINDOWS",
Coolface,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Cop! Cop!",,,"Commodore 64",CSDB
"Copy News",,,"Commodore 64",CSDB
Core,,,"Commodore 64","Internet Archive"
Cornucopia,,,"AMIGA OCS/ECS",Demozoo
"Corramba Preview",,,"Commodore 64","Internet Archive,CSDB"
Corruption,,,MS-DOS,
"Corruption Preview",,,"Commodore 64",CSDB
Cosmania,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Cosmic Press",,,MS-DOS,Demozoo
Cossackos,Russian,Russia,"ZX Spectrum",ZXpress
Coupe,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Coverage,,,"Commodore 64",
Coverdisk,,,"Commodore 64",CSDB
Cowabunga,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Cows n Bubbles",,,"AMIGA OCS/ECS,AMIGA PPC/RTG","Demozoo,Pouet"
