Magazine,Language,Origin,Systems,Source
"Easten Mag, Easten Magazine",,,"Commodore 64","Internet Archive,CSDB"
Ebelka,Russian,,"ZX Spectrum",ZXpress
Echo,Russian,Belarus,"ZX Spectrum",ZXpress
"Echo Magazine",,,"ATARI ST/E,Atari ST",
Econovan,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Eden,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Eed:mag,,,WINDOWS,
"Eezi-PC Maggie",,,"ATARI ST/E",
Egypt,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Eiffel,,,"AMIGA OCS/ECS",
"El Afghano",,,"MS-DOS,WINDOWS",
Eldorado,Russian,,"ZX Spectrum","ZXpress,Pouet"
Electra,Latvian,,"ZX Spectrum","ZXpress,Demozoo"
Electric,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Electronic Battleship Review",,,MS-DOS,
Elfriede,,,"Commodore 64","Internet Archive,CSDB"
Elite,,,"Commodore 64","Internet Archive,CSDB"
"Elite Euphoria",,,"Commodore 64","Internet Archive,CSDB"
"Elrettento Pelda 2",,,"Commodore 64","Internet Archive"
Emanuelle,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Emphatic,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Empire Soccer Review",,,MS-DOS,
Emulate,,,"ZX Spectrum",
"Enchanted Warbird magazine",,,MS-DOS,
Endemic,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Enemy Nations Review",,,MS-DOS,
Energy,Russian,Belarus,"ZX Spectrum",ZXpress
Engine,,,"Commodore 64","Internet Archive,CSDB"
Enhiridion,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Enigma Tape Magazine",,,"ZX Spectrum",
"Entity Newsletter",,,MS-DOS,
Entombed,,,"Commodore 64","Internet Archive,CSDB"
Envoyer,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Epic,,,"Commodore 64","Internet Archive,CSDB"
Epistula,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Erotic,Russian,Belarus,"ZX Spectrum",ZXpress
"Erotic World",,,"Commodore 64",CSDB
Erupt,,,"Commodore 64","Internet Archive,CSDB"
Escape,,,"Commodore 64","Internet Archive,CSDB"
Eternal,,,"AMIGA OCS/ECS",
Eternity,,,"Commodore 64","Internet Archive,CSDB"
Euphoria,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Eurochart,,,"AMIGA AGA,AMIGA OCS/ECS,WINDOWS,AMIGA PPC/RTG,LINUX",
Eurocharts,,,"Commodore 64",
Euronews,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"European Top 20",,,"AMIGA OCS/ECS",
"Event Horizon",,,MS-DOS,
"Evidence Review",,,MS-DOS,
"Evil Diskmag, EVIL e-mag",,,MS-DOS,
"Evocation magazine",,,MS-DOS,"Internet Archive"
"Evolution Magazines Premier",,,MS-DOS,
"Excel Disk Magazine",,,"ATARI 8 BIT",
"Exceller-8, Exceller 8",,,"AMIGA OCS/ECS",
Excessive,,,"Commodore 64",
Excretion,,,MS-DOS,
Exe-Info,,,"AMIGA OCS/ECS",
Exilium,,,MS-DOS,
Exit,,,"Commodore 64","Internet Archive"
Expansion,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Exploding,English,,"Commodore 64","Internet Archive,CSDB,Pouet"
Exploration,,,MS-DOS,
Explorer,Russian,Russia,"ZX Spectrum",ZXpress
Explosiv,,,"Commodore 64",CSDB
"Explosives / Pyrotechnics",,,"AMIGA OCS/ECS",
Expose,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Extacy Land",,,"Commodore 64","Internet Archive,Pouet"
"Extra K by Beagle Brothers",,,"APPLE II","Internet Archive (Apple II)"
"Extreme AMOS",,,"AMIGA OCS/ECS",
"Extreme Assault Review",,,MS-DOS,
"Eye on scene",,,"ATARI ST/E,Atari ST",
"F-14 Fleet Defender Review",,,MS-DOS,
F-Net,Russian,Russia,"ZX Spectrum",ZXpress
F.A.S.T.E.R.,,,"ATARI ST/E",
"F.O.G. 9 Shell",,,"ATARI FALCON",
"F/A-18 Hornet 3.0 Review",,,MS-DOS,
"F0nt, F0nt!",,,"AMIGA AGA,AMIGA OCS/ECS",
"F1 Licenceware Catalogue Disk",English,,AMIGA,"Internet Archive"
"FFSoft magazine",,,MS-DOS,
"FIFA Soccer Manager Review",,,MS-DOS,
"FROZEN magazine",,,MS-DOS,
"FRY Phrak Mag V1",,,"Commodore 64",
FSN,,,MS-DOS,
"Factor Zyn",,,PAPER,
"Facts and Features",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Fair Charts",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Fair Play",,,"Commodore 64",CSDB
Fairplay,,,"Commodore 64","Internet Archive,CSDB"
Fake,,,"Commodore 64","Internet Archive"
"Falcon update digital",,,"ATARI FALCON",Demozoo
Falk'Mag,,,"ATARI FALCON",
"Fallen Haven Review",,,MS-DOS,Demozoo
Fanat,Russian,Russia,"ZX Spectrum",ZXpress
"Fanat Newspaper",Russian,Russia,"ZX Spectrum",ZXpress
Fantadrom,Russian,Russia,"ZX Spectrum",ZXpress
Fantastic,Russian,,"ZX Spectrum",ZXpress
Fantasy,,,"Commodore 64","Internet Archive,CSDB"
"Fantasy Empires Review",,,MS-DOS,
Fantik,Russian,Belarus,"ZX Spectrum",ZXpress
Fantom,Russian,Ukraine,"ZX Spectrum",ZXpress
Fanzine,,,"AMIGA OCS/ECS",
Fastidium,,,"AMIGA AGA,AMIGA OCS/ECS",
"Fat Agnus",,,"AMIGA OCS/ECS",
FatMag,,,"AMSTRAD CPC,Amstrad Plus",Pouet
"Fatal News",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Fate,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Faultless,Russian,Ukraine,"ZX Spectrum",ZXpress
"Fear Newsletter",,,MS-DOS,
Feedback,,,"AMIGA AGA",
Fenomena,,,"AMIGA OCS/ECS",
Fenzin,Russian,,"ZX Spectrum",ZXpress
"Fever Preview",,,"Commodore 64","Internet Archive,CSDB,Pouet"
Filler,,,"ATARI ST/E,Atari ST",
Filth,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Final,,,"Commodore 64",
"Final Word",,,"Commodore 64",
"Fintris Delux + Uptris Review",,,MS-DOS,
"Fire And Ice Quick Dox",,,MS-DOS,Demozoo
"Fisherman Press",Russian,Russia,"ZX Spectrum",ZXpress
"Flame Games magazine",,,MS-DOS,
"Flaming Kitty magazine",,,MS-DOS,
Flap,,,MS-DOS,
Flash,,,"Commodore 64",CSDB
"Flash Info",Russian,Russia,"ZX Spectrum",ZXpress
"Flash Time",Russian,Russia,"ZX Spectrum",ZXpress
Flashback,,,"Commodore 64","Internet Archive,CSDB,Pouet"
Fleshworld,,,"AMIGA OCS/ECS",
Fleur,,,"MS-DOS,MS-Dos/gus",
"Flipout Review",,,MS-DOS,
Flop,,,"ATARI 8 BIT",
"Floppy Magazine",,,"Commodore 64","Internet Archive"
Fluidium,,,"Commodore 64","Internet Archive,CSDB"
Focus,,,"AMSTRAD CPC",
Foolishness,Russian,,"ZX Spectrum",ZXpress
"Forbes Corporate Warrior Review",,,MS-DOS,
"Forever Young",,,"Commodore 64",
Form,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Fourth Dimension",,,"AMIGA OCS/ECS",
Fraud,,,"AMIGA OCS/ECS",
"Fraud Mag",,,"Commodore 64",
Free,English,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Free 'n' Easy, Free'n'Easy",,,"AMIGA OCS/ECS",
"Free Ads",,,"AMIGA OCS/ECS",
"Free News",,,"Commodore 64",CSDB
"Freedom Crack",,,"AMIGA OCS/ECS",
Freeside,,,"Commodore 64","Internet Archive,CSDB"
Freestyle,,,"MS-DOS,WINDOWS,MS-Dos/gus",
"Frema Datortidning",Swedish,,"Commodore 64",CSDB
"French Charts",,,"AMIGA AGA,AMIGA OCS/ECS",
Fresh,,,"Commodore 64","Internet Archive,CSDB"
"Fresh'n Sticky",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Friendchip,,,"AMIGA OCS/ECS",
"Front Page Sports Baseball 98 Review",,,MS-DOS,
"Front Page Sports Golf Review",,,MS-DOS,
"Front Page, Frontpage",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Fruit Press",,,"Commodore 64",
Fubar,,,MS-DOS,
Fuck,,,"ZX Spectrum",
"Fuck Side",,,"Commodore 64",
"Fuck'n'Shit, fuck and shit",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Fucked Up",,,"Commodore 64","Internet Archive,CSDB,Pouet"
Fuckmonkey,,,MS-DOS,
Fuckpig,,,"Commodore 64","Internet Archive,CSDB"
"Full Pull",Russian,Russia,"ZX Spectrum",ZXpress
"Fun Disk",,,"AMIGA OCS/ECS",
Funeral,Russian,Russia,"ZX Spectrum",ZXpress
"Funny Box",Russian,,"ZX Spectrum",ZXpress
"Funny Night",Russian,Belarus,"ZX Spectrum",ZXpress
"Funscape Mag",,,"ATARI FALCON",
Funzine,,,"AMIGA OCS/ECS",
Fusion,,,"ATARI ST/E",
Futura,,,"ATARI 8 BIT",
"Futureware magazine",,,MS-DOS,
Fuzzby,,,MS-DOS,
"Fuzzy's World Of Miniature Space Golf Review",,,MS-DOS,
"Fölény, Foleny",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"G Bug Diskazine",,,"ATARI ST/E",
GBG-Toppen,,,"AMIGA OCS/ECS",
GDI,,,"ATARI ST/E",
"GMS News",Russian,,"ZX Spectrum",ZXpress
"GO8BG, Good Old 8-Bit Games",,,"Commodore 64",
"GRAAL Herald",,,AMIGA,"Internet Archive"
"GRF Pack",,,MS-DOS,
"GT Racing Review",,,MS-DOS,
Galactic,,,MS-DOS,
"Galactic Review",,,MS-DOS,"Internet Archive"
Galaxy,,,"Commodore 64",CSDB
Galmzine,,,WINDOWS,
Gambuzja,,,"AMIGA OCS/ECS",
"Game Corner",,,"Commodore 64",
"Game Developers Magazine",,,MS-DOS,
"Game On",,,"Commodore 64","Internet Archive,CSDB"
GameShift,,,"Commodore 64","Internet Archive,CSDB"
"Gamer's Edge Sampler",,,MS-DOS,"Internet Archive"
Gamergy,Russian,Russia,"ZX Spectrum",ZXpress
"Gamers Guide",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Games Release List",,,"AMIGA OCS/ECS",Demozoo
"Gammers Mag",,,"Commodore 64","Internet Archive,CSDB"
Ganja,,,"Commodore 64","Internet Archive,CSDB"
"Garfield News",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
"Gator's Grafic Gallery",,,"AMIGA OCS/ECS",
Gaz,,,"Commodore 64","Internet Archive,CSDB"
Gazette,,,"Commodore 64","Internet Archive"
Gedan,,,"AMIGA AGA,AMIGA OCS/ECS",
Generation,,,"AMIGA AGA,AMIGA OCS/ECS",
"Generation Z",Russian,,"ZX Spectrum","ZXpress,Demozoo,Pouet"
"Genetic Dreams",,,"Commodore 64",
Genycs,,,WINDOWS,
Geomag,,,"Commodore 64","Internet Archive"
"German Charts",,Germany,"AMIGA OCS/ECS","Demozoo,Pouet"
"German Scene Report",,,MS-DOS,
"Ghost News",,,"Commodore 64","Internet Archive,CSDB"
"Ghoul's Fanz",,,"AMSTRAD CPC",
Glaz,,,"AMIGA AGA,AMIGA OCS/ECS",
"Global Domination Review",,,MS-DOS,
"Global News",,,"AMIGA AGA",
"Glos Lamera",Polish,Poland,"AMIGA OCS/ECS",Demozoo
Gluk,Russian,Russia,"ZX Spectrum",ZXpress
"Go(v), Game Over(view)",,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Go64!,,,"Commodore 64","Internet Archive"
"Gold Rush",,,"Commodore 64","CSDB,Pouet"
"Golden Arches",,,MS-DOS,
"Golden Dawn Disk-Mag",,,"ATARI ST/E",
"Golden Disk",,,"Commodore 64","Internet Archive"
"Golden Power Disc",,,MSX,
"Golden Sun-News",,,"AMIGA OCS/ECS",Pouet
"Golf Pro 2000 Review",,,MS-DOS,
"Gomel ZX-Net News",Russian,Belarus,"ZX Spectrum",ZXpress
"Gone Fishin' CD Rom Rip Review",,,MS-DOS,
"Gooch Grundys X-Decathlon Review",,,MS-DOS,
"Good Bye John",,,"Commodore 64","Internet Archive"
"Good Vibrations",,,"Commodore 64","Internet Archive,CSDB,Pouet"
Gorezone,,,"Commodore 64",
Gorodok,Russian,Ukraine,"ZX Spectrum",ZXpress
Gossip,,,"Commodore 64",CSDB
"Gossip Column",,,"Commodore 64","Internet Archive,CSDB,Pouet"
Gothiq,Russian,Russia,"ZX Spectrum","ZXpress,Pouet"
Gp2brew,,,"GAMEPARK 32,GP32",
Graffiti,,,"Commodore 64",CSDB
Grapevine,,,"AMIGA OCS/ECS",
"Graphically Enhanced Magazine, GEM",,,MS-DOS,"Internet Archive,Demozoo"
"Great Battles Of Alexander Review",,,MS-DOS,
"Green Day, Greenday",,,"AMIGA AGA,AMIGA OCS/ECS",
Grim,,,"Commodore 64","Internet Archive,CSDB"
Gryning,,,"AMIGA OCS/ECS",
"Guinnews Preview, Guinness Pv.",,,"Commodore 64","Internet Archive,CSDB,Pouet"
Gurla,,,"Commodore 64","Internet Archive"
Guru,,,"AMIGA OCS/ECS",
"Guru Magazine",,,"Amiga OCS/ECS",
Gusta,,,"Commodore 64","Internet Archive,CSDB"
"Guts And Garters Review",,,MS-DOS,
"GygaTECH Magazine",,,MS-DOS,
HAAUG,,,"APPLE II","Internet Archive (Apple II)"
"HGSI magazine",,,MS-DOS,
"HP Source",,,"ATARI ST/E",
HTBZine,,,WINDOWS,
"Hack World, Hackworld",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Hack, Hack!",,,"Commodore 64","Internet Archive,CSDB"
Hack-Mag,,,"AMIGA OCS/ECS",
Hacker,,,"MS-DOS,WINDOWS",
"Hacker Zine",,,"ATARI 8 BIT",
"Hacker's Guide to ZZT",,,MS-DOS,
"Hackers and Hacking",,,"AMIGA OCS/ECS",
"Ham and Eggs",,,"Commodore 64","Internet Archive,CSDB"
Hangover,,,"AMIGA AGA",
"Happy Computer Spiele Tests",English,,"Commodore 64","Internet Archive"
Harakiri,,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Hard Copy",,,"Commodore 64","Internet Archive,CSDB"
"Hardball 5 Enhanced Review",,,MS-DOS,
Hardcore,,,"AMIGA OCS/ECS",
"Hardcore 4x4 Review",,,MS-DOS,
Hardline,,,"Commodore 64",
Hardreset,,,"AMIGA OCS/ECS",
Harm,,,MS-DOS,
Headline,"English,Hungarian",,"Commodore 64","Internet Archive,CSDB"
Headlines,,,"Commodore 64","Internet Archive,CSDB"
"Heaven's Door, Heavens Door",,,"Commodore 64","Internet Archive,CSDB"
Heavendown,,,"Commodore 64",
"Heimdall 2 Complete Solve",,,MS-DOS,
"Hektor Diskmagazine",,,MS-DOS,
"Hell Angels",,,MS-DOS,
Hellium,,,MS-DOS,
Hellkodes,,,"Commodore 64",
Hellmix,,,"Commodore 64","Internet Archive,CSDB"
Helpline,,,"Commodore 64",CSDB
Heresy,Russian,Russia,"ZX Spectrum","ZXpress,Pouet"
Heroin,,,MS-DOS,
Hexagone,,,"AMIGA OCS/ECS",
"Hexen Win95 Review",,,MS-DOS,
"Hexxagon V2.0 Review",,,MS-DOS,
"High Seas Trader Review",,,MS-DOS,
"Higher Mental Plane",,,MS-DOS,
Highlife,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
Highscore,,,"Commodore 64","Internet Archive"
"Highway Fighter Review",,,MS-DOS,
Hijack,,,MS-DOS,
Hintbook,,,"Commodore 64","Internet Archive"
"Hints & Tips, H&T",,,"Commodore 64","Internet Archive,CSDB"
"Histoire de Futurs",,,"AMIGA AGA",
"History Of The World Review",,,MS-DOS,
"Hit Disc",,,"ATARI ST/E",
Hoard,,,MS-DOS,
Hoax,,,MS-DOS,
Hobby,Russian,Russia,"ZX Spectrum",ZXpress
"Hokus Pokus, HokusPokus",,,"AMIGA AGA,AMIGA OCS/ECS",
"Homo News",,,"Commodore 64","Internet Archive,CSDB,Pouet"
"Hooy Mag",Polish,Poland,"ZX Spectrum","ZXpress,Pouet"
Horror,Russian,,"ZX Spectrum",ZXpress
"Hot Dog",,,"AMIGA OCS/ECS",
"Hot Margarine",,,"Commodore 64",
"Hot News",,,"AMIGA OCS/ECS",
"Hot Style",,,"Commodore 64","CSDB,Demozoo,Pouet"
Hot-Mag,,,MS-DOS,
HotShot,,,"Commodore 64","Internet Archive,CSDB,Demozoo,Pouet"
